M00 F0317 程序暂停
M01 F0304 选择停止
M02 F0305 程序结束
M03 F0300 主轴正转
M04 F0301 主轴反转
M05 F0302 主轴停止
M08 F0310 冷却液开
M09 F0311 冷却液关
M10 F0312 A轴夹紧
M11 F0313 A轴松开
M18 F0283 取消主轴准停
M19 F0262 主轴准停指令
M20 F0325 主轴空档指令
M26 F0275 启动冲屑水阀
M27 F0276 关闭冲屑水阀
M28 F0323 取消刚性攻丝
M29 F0322 刚性攻丝指令
M30 F0280 程序结束
M35 F0281 启动排屑提升传输器
M36 F0282 关闭排屑提升传输器
M42 F0273 对刀吹气开启
M43 F0274 对刀吹气关闭
M44 F0267 主轴吹气启动
M45 F0270 主轴吹气停止
M46 F0284 探头开启
M47 F0285 探头关闭
M48 F0286 测量模式开启
M49 F0287 测量模式关闭
%
X0000     第1轴正向行程限位信号
X0001     第1轴负向行程限位信号
X0002     第2轴正向行程限位信号
X0003     第2轴负向行程限位信号
X0004     第3轴正向行程限位信号
X0005     第3轴负向行程限位信号
X0006     第4轴正向行程限位信号
X0007     第4轴负向行程限位信号
X0010     第1轴回零减速信号
X0011     第2轴回零减速信号
X0012     第3轴回零减速信号
X0013     第4轴回零减速信号
X0014     急停开关
X0015     外接循环启动
X0016     外接进给保持
X0017     润滑油位或压力检测信号
X0020     气源气压检测信号
X0021     跳转信号
X0022     分度工作台松开检测
X0023     分度工作台夹紧检测
X0024     外接夹/松刀控制
X0025     松刀检测
X0026     紧刀检测
X0027     未定义
X0030     编辑锁
X0031     操作锁
X0032     未定义
X0033     未定义
X0034     未定义
X0035     未定义
X0036     未定义
X0037     冷却电机过载检测信号
X0040     排屑器电机过载检测信号
X0041     主轴一档到位
X0042     主轴二档到位
X0043     主轴三档到位
X0044     未定义
X0045     安全门检测开关
X0046     未定义
X0047     未定义
X0050     第5轴回零信号检测
X0051     未定义
X0052     未定义
X0053     未定义
X0054     未定义
X0055     未定义
X0056     第5轴正向限位信号
X0057     第5轴负向限位信号
X0060     外接手轮第1轴轴选
X0061     外接手轮第2轴轴选
X0062     外接手轮第3轴轴选
X0063     外接手轮第4轴轴选
X0064     外接手轮步长0.001
X0065     外接手轮步长0.01
X0066     外接手轮步长0.1
X0067     外接急停
X0070     速度/位置切换完成
X0071     主轴定向完成
X0072     主轴速度到达
X0073     主轴零速检测
Y0000     Z轴抱闸
Y0001     冷却
Y0002     刀具松紧
Y0003     跳转信号选择切换
Y0004     主轴制动
Y0005     工件测量探头开启
Y0006     红色报警灯
Y0007     黄色灯
Y0010     绿色灯
Y0011     排屑控制
Y0012     润滑控制
Y0013     机床照明控制
Y0014     液压启动
Y0015     主轴吹气
Y0016     分度工作台松开
Y0017     分度工作台夹紧
Y0020     对刀吹气功能
Y0021     排屑反转
Y0022     未定义
Y0023     未定义
Y0024     未定义
Y0025     未定义
Y0026     冲屑水阀输出
Y0027     未定义
Y0030     未定义
Y0031     未定义
Y0032     未定义
Y0033     未定义
Y0034     主轴一档(变频\IO点控制)
Y0035     主轴二档(变频\IO点控制)
Y0036     主轴三档(变频\IO点控制)
Y0037     未定义
Y0040     未定义
Y0041     未定义
Y0042     未定义
Y0043     未定义
Y0044     未定义
Y0045     未定义
Y0046     未定义
Y0047     未定义
Y0050     未定义
Y0051     未定义
Y0052     未定义
Y0053     未定义
Y0054     未定义
Y0055     未定义
Y0056     未定义
Y0057     未定义
Y0060     主轴正转
Y0061     主轴反转
Y0062     主轴使能
Y0063     主轴定向
Y0064     主轴速度/位置切换
Y0065     零速箝位
K0060     限位开关是否使用1个
K0061     未定义
K0062     未定义
K0063     未定义
K0064     回零开关是否选择常开型
K0065     未定义
K0066     未定义
K0067     未定义
K0070     未定义
K0071     未定义
K0072     是否使用快速倍率F0与进给倍率自动跟随
K0073     是否取消第4轴硬限位
K0074     是否取消第5轴硬限位
K0075     是否取消外接手轮急停
K0076     主轴是否输出+10V~-10V模拟电压
K0077     是否使用主轴位置模式
K0080     主轴定位检测是否为常开型
K0081     刀具夹松是否由面板按钮控制
K0082     是否不使用刀具夹松装置
K0083     是否使用安全门检测装置
K0084     主轴是否有换档装置
K0085     主轴速度到达检测是否为常闭型
K0086     主轴速度模式时是否为常闭型
K0087     主轴模式转换是否无检测开关
K0090     主轴位置到达是否无检测开关
K0091     润滑压力或油位检测是否有效
K0092     气源压力检测是否有效
K0093     排屑器电机过载检测是否有效
K0094     未定义
K0095     未定义
K0096     冷却电机过载检测是否有效
K0097     未定义
K0100     未定义
K0101     未定义
K0102     未定义
K0103     未定义
K0104     未定义
K0105     未定义
K0106     未定义
K0107     未定义
K0110     未定义
K0111     未定义
K0112     未定义
K0113     未定义
K0114     未定义
K0115     主轴定位时是否输出正转信号
K0116     未定义
K0117     未定义
K0120     未定义
K0121     未定义
K0122     未定义
K0123     未定义
K0124     未定义
K0125     未定义
K0126     未定义
K0134     未定义
K0135     未定义
K0136     主轴手动松紧刀模式(0:自锁 1:不自锁)
K0137     主轴松紧刀检测到位信号(0:检测 1:不检测)
K0140     是否使用分度工作台夹松装置
K0141     工作台分度是否自动松夹
K0142     工作台夹松是否无检测开关
K0143     分度工作台禁止手动手轮单段
K0144     分度台松开状态是否允许移动XYZ轴
K0145     分度工作台松开夹紧后是否断开输出
K0146     未定义
K0147     分度工作台进入调试模式
K0500     第1轴正向运动记忆
K0501     第2轴正向运动记忆
K0502     第3轴正向运动记忆
K0503     第4轴正向运动记忆
K0504     第5轴正向运动记忆
K0510     未定义
K0513     未定义
A0000     气压压力检测异常
A0001     润滑油检测异常
A0002     润滑电机检测异常
A0003     冷却电机过载
A0004     排屑器电机过载
A0005     压力油泵电机检测异常
A0006     主轴冷却单元检测异常
A0007     机床照明灯检测异常
A0010     机床控制箱温度检测异常
A0011     机床床身温度检测异常
A0012     机床振动频率检测异常
A0013     压力油温度检测异常
A0014     压力油油压过低
A0016     主轴档位异常不可旋转
A0017     执行M06指令时需先执行T指令
A0020     刀具松开状态不可旋转主轴
A0021     主轴旋转刀具不能松开
A0022     刀库异常停止重新确认刀号
A0023     刀库在进刀位置不可旋转主轴
A0024     主轴刀具夹紧检测异常
A0025     主轴刀具松开检测异常
A0026     主轴单元温度检测异常
A0027     主轴速度检测异常
A0030     主轴电机使能检测异常
A0031     主轴定向到位检测异常
A0032     主轴档位异常
A0033     不在原点位置刀库不可旋转
A0034     刀库在进刀位置不可循环启动
A0035     主轴刀号为零需设置主轴刀号才能插刀
A0036     主轴刀具松开状态不能换刀
A0037     刀库不在退刀位置不能换刀
A0040     刀库旋转到位检测异常
A0041     刀库旋转电机过载
A0042     刀库进刀位置程序停止运行
A0043     刀库移动到位检测异常
A0044     刀库回零检测异常
A0045     刀库原点位置丢失需重新回零
A0046     进刀到位检测异常
A0047     退刀到位检测异常
A0050     刀库异常需要重新回零
A0051     刀库进刀检测异常
A0052     刀库退刀检测异常
A0053     刀库零点位置设置有效
A0054     换刀异常停止确保刀库正常
A0055     刀具表中无指令刀号或指令刀号重复
A0056     未在换刀位置刀库不能进刀
A0057     主轴欠定位刀库不能进刀
A0060     刀具松开状态刀库不能退刀
A0061     主轴带刀不能进刀
A0062     主轴与刀库当前的刀号不同不能进刀
A0064     刀具夹紧不可移动Z轴
A0065     刀库调整模式谨慎操作
A0066     刀库调整模式不可循环启动
A0067     刀具夹紧不能回原点位置
A0070     刀具夹紧不能回换刀位置
A0071     主轴欠定位不能回换刀位置
A0072     刀库异常不能回换刀位置
A0074     手动回换刀位置状态不可循环起动
A0075     不在原点位置不可退刀
A0076     超出安全位置
A0080     主轴速度位置模式转换异常
A0081     主轴位置速度模式转换异常
A0082     主轴旋转不可换档
A0083     刀库前进后退检测异常
A0084     主轴松刀紧刀检测异常
A0085     主轴定向时序检测异常
A0086     Z轴没有回机械零点不可换刀
A0087     刀库旋转异常强制停止旋转
A0090     主轴刀号检测异常
A0091     当前刀盘有刀不能前进
A0092     刀盘不到位刀库不能前进
A0110     分度工作台松开夹紧检测超时
A0111     分度工作台松开夹紧检测异常
A0112     分度工作台夹紧装置未启用
A0113     分度工作台未松开不可旋转
A0114     分度工作台未夹紧不可移动
A0115     安全门未关上不可循环启动
A0116     刚性攻丝中不能换档,请先取消刚性攻丝再换档
A0200     润滑压力低或油位低
A0201     分度工作台调试模式请谨慎操作
R0450     主轴速度到达
R0451     主轴位置/速度状态检测
R0452     取消刚性攻丝信号
R0454     主轴位置模式切换完成
R0455     主轴位置模式延时检测
R0456     刚性攻丝指令延时完成
R0457     主轴定向延时完成
R0462     当前刀套刀具检测开关
R0463     主轴刀具检测开关
R0464     MT-MP1 单步步长选择信号1
R0465     MT-MP2 单步步长选择信号2
R0466     MT-MP1 手轮进给移动量选择信号1
R0467     MT-MP2 手轮进给移动量选择信号2
R0470     自动运行时取消刚性攻丝信号
R0471     手动运行时取消刚性攻丝信号
R0472     取消刚性攻丝指令延时完成
R0473     主轴速度模式切换完成
R0474     主轴速度模式延时检测
R0475     主轴正转上升沿
R0476     主轴反转上升沿
R0477     主轴位置模式
R0480     当前轴数为5
R0481     主轴速度模式
R0482     当前轴数为4
R0483     主轴定向输入
R0485     指令刀号是否等于主轴刀号
R0486     第4轴正向按键选择
R0487     第5轴正向按键选择
R0490     主轴正转
R0491     主轴反转
R0492     刀库正转/反转到位延迟检测
R0493     刀库旋转中延迟检测
R0494     主轴正转断开
R0495     换档延时完成
R0497     主轴制动延时断开
R0500     主轴模拟量齿轮选择信号
R0501     复位信号上升沿
R0502     进刀条件不足时进刀上升沿
R0505     是否执行T指令
R0510     第4轴负向按键选择
R0511     第5轴负向按键选择
R0512     控制轴数不小于5
R0514     控制轴数不小于4
R0522     990MC 快速倍率减触发
R0523     990MC 快速倍率增触发
R0526     快速倍率达到最大值100%
R0530     分度工作台回零轴选上升沿
R0531     回零完成分度工作台自动夹紧
R0533     分度头松开输出中间继电器
R0534     分度头夹紧输出中间继电器
R0535     990MC 手轮增量增触发
R0536     990MC 手轮增量减触发
R0542     进给保持输入
R0544     990MC 手轮增量达到最大值
R0552     档位无检测开关时换档延时完成
R0560     主轴I/O点控制信号输入
R0561     主轴换档延时检测
R0567     主轴换档是否到位
R0610     刀库使用中禁止模式转换
R0611     方式切换按键输入
R0612     自动,录入,DNC
R0627     MST辅助功能选通
R0630     分度工作台松开检测
R0631     分度工作台夹紧检测
R0634     主轴定向输入
R0635     主轴定向输入上升沿
R0640     主轴旋转条件
R0641     主轴正转输入
R0642     主轴停止输入
R0643     主轴反转输入
R0644     主轴定向输入
R0645     主轴正转延时完成
R0646     主轴反转延时完成
R0666     主轴空档指令输入
R0667     M5延迟完成
R0670     M代码辅助功能结束信号
R0671     循环启动输入
R0684     非手轮,非单步,非电子手轮驱动状态
R0685     手动,单步方式检测
R0686     手动,单步,手轮方式检测
R0703     MT-手动进给轴 +4th
R0707     MT-手动进给轴 -4th
R0740     主轴齿轮选择选通信号
R0741     主轴模拟量齿轮延时接通
R0743     主轴I/O点控制延时完成
R0745     换档到位中间继电器
R0760     分度工作台松开
R0761     分度工作台松开完成延时
R0762     分度工作台夹紧完成延时
R0763     分度工作台松开检测延时
R0764     分度工作台夹紧检测延时
R0765     分度工作台松开延时完成
R0766     分度工作台夹紧延时完成
R0767     分度工作台松开完成信号
R0770     分度工作台夹紧完成信号
R0772     分度工作台位置检测
R0781     手动夹/松刀控制
R0783     主轴刀具松开完成延时
R0784     主轴刀具夹紧完成延时
R0785     主轴刀具松开检测延时
R0786     主轴刀具夹紧检测延时
R0787     主轴停止
R0802     刀库脱离前进位置检测
R0803     刀库脱离后退位置检测
R0804     刀库计数/到位
R0805     刀库回零到位
R0806     主轴定位延时检测
R0807     手动夹/松刀输入
R0810     正转切断,反转延时接通
R0811     反转切断,正转延时接通
R0815     主轴定向完成信号
R0817     手动设置刀库原点
R0820     手动设置刀库原点
R0821     松刀检测
R0822     开启松紧刀装置
R0823     紧刀检测
R0831     刀具表中无指令刀号或指令刀号重复
R0834     循环启动条件
R0836     安全门合上
R0846     寻刀中
R0861     刀库正转/反转到位
R0864     主轴定向完成信号延时检测
R0865     主轴旋转
R0900     主轴无刀
R0902     主轴刀号与当前刀套刀号相同
